Date,Variable,Bulgaria,Czechia,Hungary,Poland,Romania,Slovakia,Ukraine,East Europe Cop,Anicca
1985,nuclear_electricity,13.13,2.4,6.48,0,0,9.38,53.31,84.7,9.662331736
1986,nuclear_electricity,12.07,6.15,7.42,0,0,11.72,42.71,80.07,9.134154689
1987,nuclear_electricity,12.44,10.7,10.99,0,0,11.51,50.43,96.07,10.95938855
1988,nuclear_electricity,16.03,11.82,13.45,0,0,11.47,72,124.77,14.23340178
1989,nuclear_electricity,14.57,12.42,13.89,0,0,12.16,66.52,119.56,13.63906
1990,nuclear_electricity,14.66,12.59,13.73,0,0,12.04,76.18,129.2,14.7387634
1991,nuclear_electricity,13.18,12.13,13.73,0,0,11.69,75.13,125.86,14.35774584
1992,nuclear_electricity,11.55,12.25,13.96,0,0,11.05,73.75,122.56,13.98129135
1993,nuclear_electricity,13.97,12.63,13.8,0,0,11.49,75.24,127.13,14.50262377
1994,nuclear_electricity,15.34,12.98,14.05,0,0,12.6,68.85,123.82,14.12502852
1995,nuclear_electricity,17.26,12.23,14.03,0,0,11.44,70.52,125.48,14.31439653
1996,nuclear_electricity,18.08,12.85,14.18,0,1.39,11.25,79.58,137.33,15.66621036
1997,nuclear_electricity,17.75,12.49,13.97,0,5.4,11.07,79.43,140.11,15.98334474
1998,nuclear_electricity,16.9,13.18,13.95,0,5.31,11.39,75.24,135.97,15.51106548
1999,nuclear_electricity,15.81,13.36,14.1,0,5.2,13.12,72.07,133.66,15.24754734
2000,nuclear_electricity,18.18,13.59,14.18,0,5.46,16.49,77.34,145.24,16.56856035
2001,nuclear_electricity,19.55,14.75,14.13,0,5.45,17.1,76.17,147.15,16.78644764
2002,nuclear_electricity,20.22,18.74,13.95,0,5.51,17.95,77.99,154.36,17.60894365
2003,nuclear_electricity,17.28,25.87,11.01,0,4.91,17.86,81.41,158.34,18.06297057
2004,nuclear_electricity,16.82,26.33,11.91,0,5.55,17.03,87.02,164.66,18.78393794
2005,nuclear_electricity,18.65,24.73,13.83,0,5.55,17.73,88.76,169.25,19.30755191
2006,nuclear_electricity,19.49,26.05,13.46,0,5.63,18.01,90.22,172.86,19.71937029
2007,nuclear_electricity,14.64,26.17,14.68,0,7.71,15.33,92.54,171.07,19.51517226
2008,nuclear_electricity,15.77,26.55,14.82,0,11.23,16.7,89.84,174.91,19.95322838
2009,nuclear_electricity,15.26,27.21,15.43,0,11.75,14.08,82.92,166.65,19.0109514
2010,nuclear_electricity,15.25,28,15.76,0,11.62,14.57,89.15,174.35,19.8893452
2011,nuclear_electricity,16.31,28.28,15.69,0,11.75,15.41,90.25,177.69,20.27036277
2012,nuclear_electricity,15.78,30.32,15.79,0,11.47,15.49,90.14,178.99,20.41866302
2013,nuclear_electricity,14.17,30.75,15.37,0,11.62,15.72,83.21,170.84,19.48893452
2014,nuclear_electricity,15.87,30.33,15.65,0,11.68,15.5,88.39,177.42,20.23956194
2015,nuclear_electricity,15.38,26.84,15.83,0,11.64,15.15,87.63,172.47,19.67488022
2016,nuclear_electricity,15.78,24.1,16.05,0,11.29,14.77,80.95,162.94,18.5877253
2017,nuclear_electricity,15.55,28.34,16.1,0,11.51,15.08,85.58,172.16,19.63951631
2018,nuclear_electricity,16.13,29.92,15.73,0,11.38,14.84,84.4,172.4,19.66689482
2019,nuclear_electricity,16.56,30.25,16.29,0,11.28,15.28,83,172.66,19.69655487
2020,nuclear_electricity,16.63,30.04,16.06,0,11.47,15.44,76.2,165.84,18.91854894
2021,nuclear_electricity,16.49,30.73,15.99,0,11.28,15.73,86.29,176.51,20.13575177
2022,nuclear_electricity,16.46,31.03,15.82,0,11.11,15.91,63.26,153.59,17.52110427
2023,nuclear_electricity,16.24609565,31.34073788,15.84322978,0,11.29063403,16.08517703,69.49669122,160.3025656,18.28685439
2024,nuclear_electricity,18.04022265,35.14289491,17.86064869,0,13.61541589,17.61511598,79.4282584,181.7025565,20.72810364
2025,nuclear_electricity,19.89111249,38.94505194,19.8780676,0,15.94019774,19.14505493,89.35982559,203.1593103,23.17582823
2026,nuclear_electricity,21.77957779,42.74720897,21.89548652,0,18.2649796,20.67499389,99.29139277,224.6536395,25.62783932
2027,nuclear_electricity,23.69154006,46.549366,23.91290543,0,20.58976146,22.20493284,109.22296,246.1714658,28.08253089
2028,nuclear_electricity,25.61803915,50.35152304,25.93032434,0,22.91454332,23.73487179,119.1545271,267.7038287,30.53888076
2029,nuclear_electricity,27.5535129,54.15368007,27.94774326,0,25.23932517,25.26481074,129.0860943,289.2451664,32.99625444
2030,nuclear_electricity,29.49452507,57.9558371,29.96516217,0,27.56410703,26.79474969,139.0176615,310.7920426,35.45425994
2031,nuclear_electricity,31.43895483,61.75799413,31.98258109,0,29.88888889,28.32468864,148.9492287,332.3423363,37.91265529
2032,nuclear_electricity,33.38549344,65.56015116,34,0,31,29.85462759,158.8807959,352.6810681,40.23283916
2033,nuclear_electricity,35.33333333,69.36230819,34.77777778,10.95,32.11111111,31.38456654,168.8123631,382.7314601,43.66090122
2034,nuclear_electricity,36.16666667,73.16446522,35.55555556,13.39764706,33.22222222,32.91450549,178.7439302,403.1649924,45.99189966
2035,nuclear_electricity,37,76.96662225,36.33333333,15.84529412,34.33333333,34.44444444,188.6754974,423.5985249,48.32289812
2036,nuclear_electricity,37.83333333,80.76877928,37.11111111,18.29294118,35.44444444,35.14814815,198.6070646,443.2058221,50.55964204
2037,nuclear_electricity,38.66666667,84.57093631,37.88888889,20.74058824,36.55555556,35.85185185,208.5386318,462.8131193,52.79638596
2038,nuclear_electricity,39.5,88.37309335,38.66666667,23.18823529,37.66666667,36.55555556,218.470199,482.4204165,55.03312988
2039,nuclear_electricity,40.33333333,92.17525038,39.44444444,25.63588235,38.77777778,37.25925926,228.4017662,502.0277137,57.2698738
2040,nuclear_electricity,41.16666667,95.97740741,40.22222222,28.08352941,39.88888889,37.96296296,238.3333333,521.6350109,59.50661772
2041,nuclear_electricity,42,97.44666667,41,30.53117647,41,38.66666667,240,530.6445098,60.53439537
2042,nuclear_electricity,42.83333333,98.91592593,41.77777778,32.97882353,42.11111111,39.37037037,241.6666667,539.6540088,61.56217303
2043,nuclear_electricity,43.66666667,100.3851852,42.55555556,35.42647059,43.22222222,40.07407407,243.3333333,548.6635076,62.58995067
2044,nuclear_electricity,44.5,101.8544444,43.33333333,37.87411765,44.33333333,40.77777778,245,557.6730065,63.61772833
2045,nuclear_electricity,45.33333333,103.3237037,44.11111111,40.32176471,45.44444444,41.48148148,246.6666667,566.6825055,64.64550599
2046,nuclear_electricity,46.16666667,104.792963,44.88888889,42.76941176,46.55555556,42.18518519,248.3333333,575.6920044,65.67328364
2047,nuclear_electricity,47,106.2622222,45.66666667,45.21705882,47.66666667,42.88888889,250,584.7015033,66.70106129
2048,nuclear_electricity,47.83333333,107.7314815,46.44444444,47.66470588,48.77777778,43.59259259,251.6666667,593.7110022,67.72883895
2049,nuclear_electricity,48.66666667,109.2007407,47.22222222,50.11235294,49.88888889,44.2962963,253.3333333,602.720501,68.75661659
2050,nuclear_electricity,49.5,110.67,48,52.56,51,45,255,611.73,69.78439425
2051,nuclear_electricity,50.33333333,112.1392593,48.77777778,55.00764706,52.11111111,45.7037037,256.6666667,620.739499,70.81217191
2052,nuclear_electricity,51.16666667,113.6085185,49.55555556,57.45529412,53.22222222,46.40740741,258.3333333,629.7489978,71.83994956
2053,nuclear_electricity,52,115.0777778,50.33333333,59.90294118,54.33333333,47.11111111,260,638.7584968,72.86772722
2054,nuclear_electricity,52.83333333,116.547037,51.11111111,62.35058824,55.44444444,47.81481481,261.6666667,647.7679956,73.89550486
2055,nuclear_electricity,53.66666667,118.0162963,51.88888889,64.79823529,56.55555556,48.51851852,263.3333333,656.7774945,74.92328251
2056,nuclear_electricity,54.5,119.4855556,52.66666667,67.24588235,57.66666667,49.22222222,265,665.7869935,75.95106018
2057,nuclear_electricity,55.33333333,120.9548148,53.44444444,69.69352941,58.77777778,49.92592593,266.6666667,674.7964924,76.97883783
2058,nuclear_electricity,56.16666667,122.4240741,54.22222222,72.14117647,59.88888889,50.62962963,268.3333333,683.8059913,78.00661548
2059,nuclear_electricity,57,123.8933333,55,74.58882353,61,51.33333333,270,692.8154902,79.03439313
2060,nuclear_electricity,57.83333333,125.3625926,55.77777778,77.03647059,62.11111111,52.03703704,271.6666667,701.8249892,80.0621708
2061,nuclear_electricity,58.66666667,126.8318519,56.55555556,79.48411765,63.22222222,52.74074074,273.3333333,710.834488,81.08994844
2062,nuclear_electricity,59.5,128.3011111,57.33333333,81.93176471,64.33333333,53.44444444,275,719.8439869,82.11772609
2063,nuclear_electricity,60.33333333,129.7703704,58.11111111,84.37941176,65.44444444,54.14814815,276.6666667,728.8534859,83.14550375
2064,nuclear_electricity,61.16666667,131.2396296,58.88888889,86.82705882,66.55555556,54.85185185,278.3333333,737.8629847,84.17328139
2065,nuclear_electricity,62,132.7088889,59.66666667,89.27470588,67.66666667,55.55555556,280,746.8724837,85.20105906
2066,nuclear_electricity,62.83333333,134.1781481,60.44444444,91.72235294,68.77777778,56.25925926,281.6666667,755.8819826,86.22883671
2067,nuclear_electricity,63.66666667,135.6474074,61.22222222,94.17,69.88888889,56.96296296,283.3333333,764.8914814,87.25661435
2068,nuclear_electricity,64.5,137.1166667,62,96.61764706,71,57.66666667,285,773.9009804,88.28439201
2069,nuclear_electricity,65.33333333,138.5859259,62.77777778,99.06529412,72.11111111,58.37037037,286.6666667,782.9104793,89.31216967
2070,nuclear_electricity,66.16666667,140.0551852,63.55555556,101.5129412,73.22222222,59.07407407,288.3333333,791.9199782,90.33994732
2071,nuclear_electricity,67,141.5244444,64.33333333,103.9605882,74.33333333,59.77777778,290,800.929477,91.36772496
2072,nuclear_electricity,67.83333333,142.9937037,65.11111111,106.4082353,75.44444444,60.48148148,291.6666667,809.9389761,92.39550264
2073,nuclear_electricity,68.66666667,144.462963,65.88888889,108.8558824,76.55555556,61.18518519,293.3333333,818.948475,93.42328029
2074,nuclear_electricity,69.5,145.9322222,66.66666667,111.3035294,77.66666667,61.88888889,295,827.9579738,94.45105793
2075,nuclear_electricity,70.33333333,147.4014815,67.44444444,113.7511765,78.77777778,62.59259259,296.6666667,836.9674728,95.47883559
2076,nuclear_electricity,71.16666667,148.8707407,68.22222222,116.1988235,79.88888889,63.2962963,298.3333333,845.9769716,96.50661323
2077,nuclear_electricity,72,150.34,69,118.6464706,81,64,300,854.9864706,97.5343909
2078,nuclear_electricity,72.83333333,151.8092593,69.77777778,121.0941176,82.11111111,64.7037037,301.6666667,863.9959695,98.56216855
2079,nuclear_electricity,73.66666667,153.2785185,70.55555556,123.5417647,83.22222222,65.40740741,303.3333333,873.0054684,99.5899462
2080,nuclear_electricity,74.5,154.7477778,71.33333333,125.9894118,84.33333333,66.11111111,305,882.0149674,100.6177239
2081,nuclear_electricity,75.33333333,156.217037,72.11111111,128.4370588,85.44444444,66.81481481,306.6666667,891.0244662,101.6455015
2082,nuclear_electricity,76.16666667,157.6862963,72.88888889,130.8847059,86.55555556,67.51851852,308.3333333,900.0339651,102.6732792
2083,nuclear_electricity,77,159.1555556,73.66666667,133.3323529,87.66666667,68.22222222,310,909.0434641,103.7010568
2084,nuclear_electricity,77.83333333,160.6248148,74.44444444,135.78,88.77777778,68.92592593,311.6666667,918.052963,104.7288345
2085,nuclear_electricity,78.66666667,162.0940741,75.22222222,138.2276471,89.88888889,69.62962963,313.3333333,927.0624619,105.7566121
2086,nuclear_electricity,79.5,163.5633333,76,140.6752941,91,70.33333333,315,936.0719607,106.7843898
2087,nuclear_electricity,80.33333333,165.0325926,76.77777778,143.1229412,92.11111111,71.03703704,316.6666667,945.0814598,107.8121674
2088,nuclear_electricity,81.16666667,166.5018519,77.55555556,145.5705882,93.22222222,71.74074074,318.3333333,954.0909586,108.8399451
2089,nuclear_electricity,82,167.9711111,78.33333333,148.0182353,94.33333333,72.44444444,320,963.1004575,109.8677227
2090,nuclear_electricity,82.83333333,169.4403704,79.11111111,150.4658824,95.44444444,73.14814815,321.6666667,972.1099565,110.8955004
2091,nuclear_electricity,83.66666667,170.9096296,79.88888889,152.9135294,96.55555556,73.85185185,323.3333333,981.1194553,111.923278
2092,nuclear_electricity,84.5,172.3788889,80.66666667,155.3611765,97.66666667,74.55555556,325,990.1289543,112.9510557
2093,nuclear_electricity,85.33333333,173.8481481,81.44444444,157.8088235,98.77777778,75.25925926,326.6666667,999.1384531,113.9788333
2094,nuclear_electricity,86.16666667,175.3174074,82.22222222,160.2564706,99.88888889,75.96296296,328.3333333,1008.147952,115.006611
2095,nuclear_electricity,87,176.7866667,83,162.7041176,101,76.66666667,330,1017.157451,116.0343887
2096,nuclear_electricity,87.83333333,178.2559259,83.77777778,165.1517647,102.1111111,77.37037037,331.6666667,1026.16695,117.0621663
2097,nuclear_electricity,88.66666667,179.7251852,84.55555556,167.5994118,103.2222222,78.07407407,333.3333333,1035.176449,118.089944
2098,nuclear_electricity,89.5,181.1944444,85.33333333,170.0470588,104.3333333,78.77777778,335,1044.185948,119.1177217
2099,nuclear_electricity,90.33333333,182.6637037,86.11111111,172.4947059,105.4444444,79.48148148,336.6666667,1053.195447,120.1454993
2100,nuclear_electricity,91.16666667,184.132963,86.88888889,174.9423529,106.5555556,80.18518519,338.3333333,1062.204946,121.173277
