Date,Variable,Belgium,Germany,Italy,Spain,Switzerland,West Europe Regular,Anicca
1985,nuclear_electricity,34.6,138.64,7.02,28.04,22.4,230.7,26.31759069
1986,nuclear_electricity,39.39,130.49,8.76,37.46,22.42,238.52,27.20967374
1987,nuclear_electricity,41.97,141.73,0.17,41.27,22.84,247.98,28.28884326
1988,nuclear_electricity,43.1,156.82,0,50.47,22.63,273.02,31.14533425
1989,nuclear_electricity,41.22,161.67,0,56.13,22.68,281.7,32.13552361
1990,nuclear_electricity,42.72,152.47,0,54.27,23.47,272.93,31.13506731
1991,nuclear_electricity,42.86,147.23,0,55.58,22.79,268.46,30.6251426
1992,nuclear_electricity,43.46,158.8,0,55.78,23.29,281.33,32.09331508
1993,nuclear_electricity,41.93,153.28,0,56.06,23.19,274.46,31.30960529
1994,nuclear_electricity,40.62,150.7,0,55.31,24.19,270.82,30.89436459
1995,nuclear_electricity,41.36,153.09,0,55.46,24.72,274.63,31.3289984
1996,nuclear_electricity,43.34,160.02,0,56.33,24.97,284.66,32.47319188
1997,nuclear_electricity,47.41,170.33,0,55.3,25.23,298.27,34.02578143
1998,nuclear_electricity,46.17,161.64,0,58.99,25.65,292.45,33.36185261
1999,nuclear_electricity,49.02,170,0,58.85,24.76,302.63,34.52315765
2000,nuclear_electricity,48.16,169.61,0,62.21,26.45,306.43,34.9566507
2001,nuclear_electricity,46.35,171.3,0,63.71,26.81,308.17,35.15514488
2002,nuclear_electricity,47.36,164.84,0,63.02,27.23,302.45,34.50262377
2003,nuclear_electricity,47.38,165.06,0,61.88,27.49,301.81,34.42961442
2004,nuclear_electricity,47.31,167.07,0,63.61,26.96,304.95,34.78781656
2005,nuclear_electricity,47.6,163.05,0,57.54,23.34,291.53,33.25690167
2006,nuclear_electricity,46.65,167.27,0,60.13,27.82,301.87,34.43645905
2007,nuclear_electricity,48.23,140.53,0,55.1,27.92,271.78,31.00387862
2008,nuclear_electricity,45.57,148.49,0,58.97,27.7,280.73,32.02486881
2009,nuclear_electricity,47.22,134.93,0,52.76,27.69,262.6,29.9566507
2010,nuclear_electricity,47.94,140.56,0,61.99,26.34,276.83,31.57996806
2011,nuclear_electricity,48.23,107.97,0,57.72,26.71,240.63,27.45037645
2012,nuclear_electricity,40.29,99.46,0,61.47,25.44,226.66,25.85671914
2013,nuclear_electricity,42.64,97.29,0,56.73,25.99,222.65,25.39926991
2014,nuclear_electricity,33.7,97.13,0,57.31,27.56,215.7,24.60643395
2015,nuclear_electricity,26.1,91.79,0,57.2,23.09,198.18,22.60780287
2016,nuclear_electricity,43.52,84.63,0,58.63,21.15,207.93,23.72005476
2017,nuclear_electricity,42.23,76.32,0,58.04,20.38,196.97,22.46976956
2018,nuclear_electricity,28.6,76,0,55.77,25.51,185.88,21.20465435
2019,nuclear_electricity,43.52,75.07,0,58.35,26.42,203.36,23.19872234
2020,nuclear_electricity,34.43,64.38,0,58.3,24.02,181.13,20.66278804
2021,nuclear_electricity,50.33,69.13,0,56.56,19.36,195.38,22.28838695
2022,nuclear_electricity,44.11,35.86,0,58.53,23.95,162.45,18.53182752
2023,nuclear_electricity,43.70691056,,0,57.10752235,24.41431888,125.2287518,14.28573486
2024,nuclear_electricity,40.06466801,0,0,53.46421413,20.60749072,114.1363729,13.02034827
2025,nuclear_electricity,36.42242546,0,0,47.76971923,17.84181109,102.0339558,11.63973943
2026,nuclear_electricity,32.78018292,0,0,43.61784655,16.3021788,92.70020827,10.57497242
2027,nuclear_electricity,29.13794037,0,0,38.31086953,14.65972529,82.10853519,9.366704904
2028,nuclear_electricity,25.49569782,0,0,33.86755524,12.49909559,71.86234865,8.197849492
2029,nuclear_electricity,21.85345528,0,0,28.77880851,10.24666507,60.87892886,6.944892637
2030,nuclear_electricity,18.21121273,0,0,24.17232485,8.178508695,50.56204628,5.767972425
2031,nuclear_electricity,14.56897019,0,0,19.20551791,6.194487189,39.96897529,4.559545436
2032,nuclear_electricity,10.92672764,0,0,14.5079216,4.158153841,29.59280308,3.375861634
2033,nuclear_electricity,7.284485093,0,0,9.609189558,2.074642172,18.96831682,2.163850881
2034,nuclear_electricity,3.642242546,0,0,4.860732005,0,8.502974551,0.969994815
2035,nuclear_electricity,0,0,0,0,0,0,0
2036,nuclear_electricity,0,0,0,0,0,0,0
2037,nuclear_electricity,0,0,0,0,0,0,0
2038,nuclear_electricity,0,0,0,0,0,0,0
2039,nuclear_electricity,0,0,0,0,0,0,0
2040,nuclear_electricity,0,0,0,0,0,0,0
2041,nuclear_electricity,0,0,0,0,0,0,0
2042,nuclear_electricity,0,0,0,0,0,0,0
2043,nuclear_electricity,0,0,0,0,0,0,0
2044,nuclear_electricity,0,0,0,0,0,0,0
2045,nuclear_electricity,0,0,0,0,0,0,0
2046,nuclear_electricity,0,0,0,0,0,0,0
2047,nuclear_electricity,0,0,0,0,0,0,0
2048,nuclear_electricity,0,0,0,0,0,0,0
2049,nuclear_electricity,0,0,0,0,0,0,0
2050,nuclear_electricity,0,0,0,0,0,0,0
2051,nuclear_electricity,0,0,0,0,0,0,0
2052,nuclear_electricity,0,0,0,0,0,0,0
2053,nuclear_electricity,0,0,0,0,0,0,0
2054,nuclear_electricity,0,0,0,0,0,0,0
2055,nuclear_electricity,0,0,0,0,0,0,0
2056,nuclear_electricity,0,0,0,0,0,0,0
2057,nuclear_electricity,0,0,0,0,0,0,0
2058,nuclear_electricity,0,0,0,0,0,0,0
2059,nuclear_electricity,0,0,0,0,0,0,0
2060,nuclear_electricity,0,0,0,0,0,0,0
2061,nuclear_electricity,0,0,0,0,0,0,0
2062,nuclear_electricity,0,0,0,0,0,0,0
2063,nuclear_electricity,0,0,0,0,0,0,0
2064,nuclear_electricity,0,0,0,0,0,0,0
2065,nuclear_electricity,0,0,0,0,0,0,0
2066,nuclear_electricity,0,0,0,0,0,0,0
2067,nuclear_electricity,0,0,0,0,0,0,0
2068,nuclear_electricity,0,0,0,0,0,0,0
2069,nuclear_electricity,0,0,0,0,0,0,0
2070,nuclear_electricity,0,0,0,0,0,0,0
2071,nuclear_electricity,0,0,0,0,0,0,0
2072,nuclear_electricity,0,0,0,0,0,0,0
2073,nuclear_electricity,0,0,0,0,0,0,0
2074,nuclear_electricity,0,0,0,0,0,0,0
2075,nuclear_electricity,0,0,0,0,0,0,0
2076,nuclear_electricity,0,0,0,0,0,0,0
2077,nuclear_electricity,0,0,0,0,0,0,0
2078,nuclear_electricity,0,0,0,0,0,0,0
2079,nuclear_electricity,0,0,0,0,0,0,0
2080,nuclear_electricity,0,0,0,0,0,0,0
2081,nuclear_electricity,0,0,0,0,0,0,0
2082,nuclear_electricity,0,0,0,0,0,0,0
2083,nuclear_electricity,0,0,0,0,0,0,0
2084,nuclear_electricity,0,0,0,0,0,0,0
2085,nuclear_electricity,0,0,0,0,0,0,0
2086,nuclear_electricity,0,0,0,0,0,0,0
2087,nuclear_electricity,0,0,0,0,0,0,0
2088,nuclear_electricity,0,0,0,0,0,0,0
2089,nuclear_electricity,0,0,0,0,0,0,0
2090,nuclear_electricity,0,0,0,0,0,0,0
2091,nuclear_electricity,0,0,0,0,0,0,0
2092,nuclear_electricity,0,0,0,0,0,0,0
2093,nuclear_electricity,0,0,0,0,0,0,0
2094,nuclear_electricity,0,0,0,0,0,0,0
2095,nuclear_electricity,0,0,0,0,0,0,0
2096,nuclear_electricity,0,0,0,0,0,0,0
2097,nuclear_electricity,0,0,0,0,0,0,0
2098,nuclear_electricity,0,0,0,0,0,0,0
2099,nuclear_electricity,0,0,0,0,0,0,0
2100,nuclear_electricity,0,0,0,0,0,0,0
